bairro,area
Abranches,4.32
Ahú,1.84
Alto Boqueirão,12.11
Alto da Glória,0.88
Alto da XV,1.5
Atuba,4.27
Augusta,8.84
Bacacheri,6.98
Bairro Alto,7.02
Barreirinha,3.73
Batel,1.76
Bigorrilho,3.5
Boa Vista,5.14
Bom Retiro,1.94
Boqueirão,14.8
Butiatuvinha,10.58
Cabral,2.04
Cachoeira,3.07
Cajuru,11.55
Campina do Siqueira,1.69
Campo Comprido,8.55
Campo de Santana,21.57
Capão Raso,5.06
Capão da Imbuia,3.16
Cascatinha,2.57
Caximba,8.17
Centro,3.3
Centro Cívico,0.97
Cidade Industrial,43.38
Cristo Rei,1.46
Fanny,2.0
Fazendinha,3.72
Ganchinho,11.2
Guabirotuba,2.63
Guaíra,2.32
Hauer,4.02
Hugo Lange,1.15
Jardim Botânico,2.77
Jardim Social,1.89
Jardim das Américas,3.87
Juvevê,1.23
Lamenha Pequena,3.4
Lindoia,1.18
Mercês,3.28
Mossunguê,3.38
Novo Mundo,5.99
Orleans,5.12
Parolin,2.25
Pilarzinho,7.13
Pinheirinho,10.73
Portão,5.7
Prado Velho,2.43
Rebouças,2.98
Riviera,2.36
Santa Cândida,10.33
Santa Felicidade,12.27
Santa Quitéria,2.09
Santo Inácio,2.72
Seminário,2.13
Sitio Cercado,11.12
São Braz,5.01
São Francisco,1.36
São João,3.03
São Lourenço,2.26
São Miguel,7.0
Taboão,1.72
Tarumã,4.17
Tatuquara,11.23
Tingui,2.11
Uberaba,14.09
Umbará,22.47
Vila Izabel,1.21
Vista Alegre,3.69
Xaxim,8.92
Água Verde,4.76
