Localidade;Variável;2021
Abranches;População Projetada - Total (Habitante);15.838
Água Verde;População Projetada - Total (Habitante);53.465
Ahú;População Projetada - Total (Habitante);11.974
Alto Boqueirão;População Projetada - Total (Habitante);56.963
Alto da Glória;População Projetada - Total (Habitante);5.496
Alto da Rua XV;População Projetada - Total (Habitante);8.332
Atuba;População Projetada - Total (Habitante);20.257
Augusta;População Projetada - Total (Habitante);10.499
Bacacheri;População Projetada - Total (Habitante);24.556
Bairro Alto;População Projetada - Total (Habitante);51.436
Barreirinha;População Projetada - Total (Habitante);19.320
Batel;População Projetada - Total (Habitante);9.700
Bigorrilho;População Projetada - Total (Habitante);29.918
Boa Vista;População Projetada - Total (Habitante);33.226
Bom Retiro;População Projetada - Total (Habitante);4.532
Boqueirão;População Projetada - Total (Habitante);79.306
Butiatuvinha;População Projetada - Total (Habitante);15.646
Cabral;População Projetada - Total (Habitante);14.814
Cachoeira;População Projetada - Total (Habitante);11.376
Cajuru;População Projetada - Total (Habitante);104.596
Campina do Siqueira;População Projetada - Total (Habitante);7.611
Campo Comprido;População Projetada - Total (Habitante);38.209
Campo de Santana;População Projetada - Total (Habitante);51.942
Capão da Imbuia;População Projetada - Total (Habitante);19.815
Capão Raso;População Projetada - Total (Habitante);38.275
Cascatinha;População Projetada - Total (Habitante);2.292
Caximba;População Projetada - Total (Habitante);2.584
Centro;População Projetada - Total (Habitante);43.381
Centro Cívico;População Projetada - Total (Habitante);4.804
Cidade Industrial de Curitiba;População Projetada - Total (Habitante);192.923
Cristo Rei;População Projetada - Total (Habitante);14.410
Fanny;População Projetada - Total (Habitante);9.133
Fazendinha;População Projetada - Total (Habitante);30.628
Ganchinho;População Projetada - Total (Habitante);16.220
Guabirotuba;População Projetada - Total (Habitante);12.486
Guaí­ra;População Projetada - Total (Habitante);15.736
Hauer;População Projetada - Total (Habitante);12.614
Hugo Lange;População Projetada - Total (Habitante);3.686
Jardim Botânico;População Projetada - Total (Habitante);6.197
Jardim das Américas;População Projetada - Total (Habitante);17.076
Jardim Social;População Projetada - Total (Habitante);5.192
Juvevê;População Projetada - Total (Habitante);11.976
Lamenha Pequena;População Projetada - Total (Habitante);1.521
Lindóia;População Projetada - Total (Habitante);8.899
Mercês;População Projetada - Total (Habitante);11.360
Mossunguê;População Projetada - Total (Habitante);14.945
Novo Mundo;População Projetada - Total (Habitante);45.455
Orleans;População Projetada - Total (Habitante);9.211
Parolin;População Projetada - Total (Habitante);10.994
Pilarzinho;População Projetada - Total (Habitante);29.230
Pinheirinho;População Projetada - Total (Habitante);51.333
Portão;População Projetada - Total (Habitante);45.184
Prado Velho;População Projetada - Total (Habitante);4.759
Rebouças;População Projetada - Total (Habitante);13.933
Riviera;População Projetada - Total (Habitante);402
Santa Cândida;População Projetada - Total (Habitante);39.270
Santa Felicidade;População Projetada - Total (Habitante);39.899
Santa Quitéria;População Projetada - Total (Habitante);12.540
Santo Inácio;População Projetada - Total (Habitante);7.092
São Braz;População Projetada - Total (Habitante);24.135
São Francisco;População Projetada - Total (Habitante);5.731
São João;População Projetada - Total (Habitante);3.650
São Lourenço;População Projetada - Total (Habitante);7.218
São Miguel;População Projetada - Total (Habitante);4.592
Seminário;População Projetada - Total (Habitante);6.139
Sí­tio Cercado;População Projetada - Total (Habitante);132.687
Taboão;População Projetada - Total (Habitante);4.349
Tarumã;População Projetada - Total (Habitante);9.416
Tatuquara;População Projetada - Total (Habitante);74.295
Tingui;População Projetada - Total (Habitante);13.307
Uberaba;População Projetada - Total (Habitante);87.390
Umbará;População Projetada - Total (Habitante);24.141
Vila Izabel;População Projetada - Total (Habitante);12.475
Vista Alegre;População Projetada - Total (Habitante);12.860
Xaxim;População Projetada - Total (Habitante);60.442
<br/><br/>;;
